PbTyp;PbNahmeDatum;Parameter;Einheiten;Wert Text;CAS;Gruppe;DauerPN_h;Q_m3_s;M_in_mg_L;Tage;Datum_Start;mg_pro_24h
WASSER;15.01.2013;Bromid;mg/L;0.043;24959-67-9;Anionen;336;1228.74;0.043;14;01.01.2013;0.003071429
WASSER;15.01.2013;Chlorid;mg/L;12.1;16887-00-6;Anionen;336;1228.74;12.1;14;01.01.2013;0.864285714
WASSER;15.01.2013;Fluorid;mg/L;0.072;16984-48-8;Anionen;336;1228.74;0.072;14;01.01.2013;0.005142857
WASSER;15.01.2013;Nitrat(N);mg/L;1.86;14797-55-8;Anionen;336;1228.74;1.86;14;01.01.2013;0.132857143
WASSER;15.01.2013;Nitrit(N);mg/L;0.008;14797-65-0;Anionen;336;1228.74;0.008;14;01.01.2013;0.000571429
WASSER;15.01.2013;o-Phosphat(P)(gelöst-IC);mg/L;0.008;14265-44-2;Anionen;336;1228.74;0.008;14;01.01.2013;0.000571429
WASSER;15.01.2013;Sulfat;mg/L;24.9;14808-79-8;Anionen;336;1228.74;24.9;14;01.01.2013;1.778571429
WASSER;15.01.2013;Phosphor(gesamt);mg/L;0.024;7723-14-0;Summenparameter;336;1228.74;0.024;14;01.01.2013;0.001714286
WASSER;15.01.2013;Calcium(gesamt);mg/L;60.7;7440-70-2;Kationen;336;1228.74;60.7;14;01.01.2013;4.335714286
